symbol,direction,signal_time,entry_price,eval_time,eval_price,pnl_pct,result,exit_reason
WLD-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.4051,2026-08-22T10:05:25.761162+00:00,0.3966,-0.02098,LOSS,STOP_LOSS
ALLO-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.28677,2026-08-22T13:51:08.633360+00:00,0.28854,0.00617,WIN,TIME_EXIT
CC-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.118,2026-08-22T09:45:50.776385+00:00,0.11544,-0.02169,LOSS,STOP_LOSS
HBAR-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.07929,2026-08-22T08:09:56.007261+00:00,0.07846,-0.01047,LOSS,STOP_LOSS
ARB-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.09872,2026-08-22T10:27:04.581689+00:00,0.09697,-0.01773,LOSS,STOP_LOSS
GIGGLE-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,37.12,2026-08-22T08:53:29.672727+00:00,36.6,-0.01401,LOSS,STOP_LOSS
XLM-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.20145,2026-08-22T10:05:25.761162+00:00,0.19799,-0.01718,LOSS,STOP_LOSS
XPL-USDT-SWAP,LONG,2026-08-22T05:22:25.823534+00:00,0.09588,2026-08-22T08:53:29.672727+00:00,0.09372,-0.02253,LOSS,STOP_LOSS
TRUMP-USDT-SWAP,SHORT,2026-08-22T05:50:22.693644+00:00,3.007,2026-08-22T13:51:08.633360+00:00,2.501,0.16827,WIN,TIME_EXIT
TRX-USDT-SWAP,LONG,2026-08-22T06:23:44.725606+00:00,0.34571,2026-08-22T11:21:35.953550+00:00,0.34184,-0.01119,LOSS,STOP_LOSS
MMT-USDT-SWAP,LONG,2026-08-22T08:01:07.064532+00:00,0.188,2026-08-22T08:53:29.672727+00:00,0.1854,-0.01383,LOSS,STOP_LOSS
FARTCOIN-USDT-SWAP,LONG,2026-08-22T08:01:07.064532+00:00,0.1948,2026-08-22T08:53:29.672727+00:00,0.1923,-0.01283,LOSS,STOP_LOSS
DOGE-USDT-SWAP,LONG,2026-08-22T08:45:14.473267+00:00,0.09108,2026-08-22T10:27:04.581689+00:00,0.08882,-0.02481,LOSS,STOP_LOSS
JTO-USDT-SWAP,LONG,2026-08-22T08:45:14.473267+00:00,0.6225,2026-08-22T10:27:04.581689+00:00,0.6146,-0.01269,LOSS,STOP_LOSS
PENGU-USDT-SWAP,LONG,2026-08-22T08:45:14.473267+00:00,0.008499,2026-08-22T10:27:04.581689+00:00,0.00819,-0.03636,LOSS,STOP_LOSS
ZAMA-USDT-SWAP,LONG,2026-08-22T08:45:14.473267+00:00,0.05305,2026-08-22T09:12:48.942274+00:00,0.05232,-0.01376,LOSS,STOP_LOSS
POL-USDT-SWAP,LONG,2026-08-22T09:04:26.459715+00:00,0.11057,2026-08-22T10:27:04.581689+00:00,0.10349,-0.06403,LOSS,STOP_LOSS
BEAT-USDT-SWAP,LONG,2026-08-22T10:19:16.566779+00:00,0.1649,2026-08-22T10:53:08.202083+00:00,0.1618,-0.01880,LOSS,STOP_LOSS
GRVT-USDT-SWAP,LONG,2026-08-22T10:19:16.566779+00:00,0.26238,2026-08-22T18:04:16.463549+00:00,0.25933,-0.01162,LOSS,STOP_LOSS
BIO-USDT-SWAP,LONG,2026-08-22T13:07:15.311339+00:00,0.03071,2026-08-22T14:53:33.966072+00:00,0.0302,-0.01661,LOSS,STOP_LOSS
CAP-USDT-SWAP,LONG,2026-08-22T13:07:15.311339+00:00,0.07022,2026-08-22T21:29:56.495614+00:00,0.06908,-0.01623,LOSS,STOP_LOSS
LIT-USDT-SWAP,LONG,2026-08-22T13:07:15.311339+00:00,3.1764,2026-08-22T14:28:56.280863+00:00,3.1122,-0.02021,LOSS,STOP_LOSS
PEPE-USDT-SWAP,LONG,2026-08-22T13:07:15.311339+00:00,4.01e-06,2026-08-22T21:29:56.495614+00:00,4.107e-06,0.02419,WIN,TIME_EXIT
UB-USDT-SWAP,LONG,2026-08-22T13:07:15.311339+00:00,0.12175,2026-08-22T20:02:41.109960+00:00,0.12042,-0.01092,LOSS,STOP_LOSS
AAVE-USDT-SWAP,LONG,2026-08-22T13:42:59.749456+00:00,124.73,2026-08-22T14:28:56.280863+00:00,123.23,-0.01203,LOSS,STOP_LOSS
CRV-USDT-SWAP,LONG,2026-08-22T13:42:59.749456+00:00,0.3315,2026-08-22T21:49:37.011301+00:00,0.3376,0.01840,WIN,TIME_EXIT
ENA-USDT-SWAP,LONG,2026-08-22T13:42:59.749456+00:00,0.15604,2026-08-22T14:28:56.280863+00:00,0.15343,-0.01673,LOSS,STOP_LOSS
MMT-USDT-SWAP,LONG,2026-08-22T13:42:59.749456+00:00,0.1874,2026-08-22T18:04:16.463549+00:00,0.1846,-0.01494,LOSS,STOP_LOSS
